feature_set,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date,tdnet_any,tdnet_positive,tdnet_negative
baseline_12,1,2024-06-03,6458,新晃⼯業,1,0.5543181804680812,0.0,-3.6250000000000004,True,True,True,2024-05-31,0.0,0.0,0.0
baseline_12,1,2024-06-04,5803,フジクラ,1,0.5728001761969367,0.0,-1.6260162601625994,True,True,True,2024-06-03,0.0,0.0,0.0
baseline_12,1,2024-06-05,8331,千葉銀行,1,0.5580282700064624,0.0,-0.24999999999999467,True,True,True,2024-06-04,0.0,0.0,0.0
baseline_12,1,2024-06-06,8708,アイザワ証券グループ,1,0.5730895988843715,1.0,0.9037745879851178,True,True,True,2024-06-05,0.0,0.0,0.0
baseline_12,1,2024-06-07,6770,アルプスアルパイン,1,0.5589778265428886,1.0,1.7358747447242973,True,True,True,2024-06-06,0.0,0.0,0.0
baseline_12,1,2024-06-10,4014,カラダノート,1,0.55519266077264,1.0,1.2006861063464935,True,True,True,2024-06-07,0.0,0.0,0.0
baseline_12,1,2024-06-11,6151,日東⼯器,1,0.5491497191224634,1.0,0.7562277580071219,True,True,True,2024-06-10,0.0,0.0,0.0
baseline_12,1,2024-06-12,1968,太平電業,1,0.5607936592203295,1.0,1.7307692307692246,True,True,True,2024-06-11,0.0,0.0,0.0
baseline_12,1,2024-06-13,6151,日東⼯器,1,0.5545861459382567,1.0,1.2894619831036014,True,True,True,2024-06-12,0.0,0.0,0.0
baseline_12,1,2024-06-14,3760,ケイブ,1,0.5615025589448212,1.0,3.7297677691766395,True,True,True,2024-06-13,0.0,0.0,0.0
baseline_12,1,2024-06-17,3083,シーズメン,1,0.5456883243556343,1.0,1.5564202334630295,True,True,True,2024-06-14,0.0,0.0,0.0
baseline_12,1,2024-06-18,3134,Ｈａｍｅｅ,1,0.5663655349213387,1.0,0.18099547511312153,True,True,True,2024-06-17,0.0,0.0,0.0
baseline_12,1,2024-06-19,8254,さいか屋,1,0.5558175798445476,1.0,3.4567901234567877,True,True,True,2024-06-18,0.0,0.0,0.0
baseline_12,1,2024-06-20,4020,ビートレンド,1,0.562648630096649,0.0,-0.9575923392612817,True,True,True,2024-06-19,0.0,0.0,0.0
baseline_12,1,2024-06-21,7874,レック,1,0.555742228555339,0.0,-0.4376367614879695,True,True,True,2024-06-20,0.0,0.0,0.0
baseline_12,1,2024-06-24,6151,日東⼯器,1,0.5556470034957376,1.0,0.20859407592823676,True,True,True,2024-06-21,0.0,0.0,0.0
baseline_12,1,2024-06-25,3997,トレードワークス,1,0.5742717709924697,1.0,1.9832985386221358,True,True,True,2024-06-24,0.0,0.0,0.0
baseline_12,1,2024-06-26,8254,さいか屋,1,0.5698699161635858,0.0,-1.8867924528301883,True,True,True,2024-06-25,0.0,0.0,0.0
baseline_12,1,2024-06-27,6151,日東⼯器,1,0.5682465483817442,1.0,0.5872483221476488,True,True,True,2024-06-26,0.0,0.0,0.0
baseline_12,1,2024-06-28,6151,日東⼯器,1,0.5602882972296808,1.0,0.7500000000000062,True,True,True,2024-06-27,0.0,0.0,0.0
baseline_12,1,2024-07-01,7874,レック,1,0.5689461457994889,0.0,-2.025931928687197,True,True,True,2024-06-28,0.0,0.0,0.0
baseline_12,1,2024-07-02,4664,アール・エス・シー,1,0.5978680676094317,0.0,-0.6980802792321161,True,True,True,2024-07-01,0.0,0.0,0.0
baseline_12,1,2024-07-03,6151,日東⼯器,1,0.5862633280381427,0.0,-4.340497260851239,True,True,True,2024-07-02,0.0,0.0,0.0
baseline_12,1,2024-07-04,6151,日東⼯器,1,0.5908469619900154,0.0,-0.9683098591549255,True,True,True,2024-07-03,0.0,0.0,0.0
baseline_12,1,2024-08-02,3054,ハイパー,1,0.588687450148997,0.0,-3.1976744186046457,True,True,True,2024-08-01,0.0,0.0,0.0
baseline_12,1,2024-08-05,6930,日本アンテナ,1,0.5860252970138964,0.0,-7.152875175315565,True,True,True,2024-08-02,0.0,0.0,0.0
baseline_12,1,2024-08-06,7035,ａｎｄ ｆａｃｔｏｒｙ,1,0.6764900426542826,0.0,-7.8767123287671215,True,True,True,2024-08-05,0.0,0.0,0.0
baseline_12,1,2024-08-07,4814,ネクストウェア,1,0.6111657755314914,1.0,4.8387096774193505,True,True,True,2024-08-06,0.0,0.0,0.0
baseline_12,1,2024-08-08,4762,エックスネット,1,0.5795154523694009,1.0,4.502541757443712,True,True,True,2024-08-07,0.0,0.0,0.0
baseline_12,1,2024-08-09,7956,ピジョン,1,0.5615170840126729,1.0,0.9293680297397744,True,True,True,2024-08-08,1.0,0.0,0.0
baseline_12,1,2024-08-13,7990,グローブライド,1,0.5766829605144251,0.0,-0.5115089514066473,True,True,True,2024-08-09,0.0,0.0,0.0
baseline_12,1,2024-08-14,1871,ピーエス・コンストラクション,1,0.5498983127388404,0.0,-0.4060913705583702,True,True,True,2024-08-13,0.0,0.0,0.0
baseline_12,1,2024-08-15,3397,トリドールホールディングス,1,0.5595291849483532,0.0,-0.598973188819163,True,True,True,2024-08-14,1.0,0.0,0.0
baseline_12,1,2024-08-16,8139,ナガホリ,1,0.5507345282541386,1.0,0.8046817849304944,True,True,True,2024-08-15,0.0,0.0,0.0
baseline_12,1,2024-08-19,8282,ケーズホールディングス,1,0.5450504284441408,0.0,-0.5501618122977336,True,True,True,2024-08-16,0.0,0.0,0.0
baseline_12,1,2024-08-20,4005,住友化学,1,0.5498084610431246,0.0,-0.3074739829706741,True,True,True,2024-08-19,0.0,0.0,0.0
baseline_12,1,2024-08-21,4005,住友化学,1,0.548039674942807,0.0,-1.6826923076923128,True,True,True,2024-08-20,0.0,0.0,0.0
baseline_12,1,2024-08-22,3974,ＳＣＡＴ,1,0.5573423560268667,1.0,0.46511627906977715,True,True,True,2024-08-21,0.0,0.0,0.0
baseline_12,1,2024-08-23,2923,サトウ食品,1,0.5545858203256341,1.0,4.438642297650142,True,True,True,2024-08-22,0.0,0.0,0.0
baseline_12,1,2024-08-26,3673,ブロードリーフ,1,0.5511343118992836,1.0,1.4409221902017322,True,True,True,2024-08-23,0.0,0.0,0.0
baseline_12,1,2024-08-27,4005,住友化学,1,0.559394618829249,1.0,1.8269230769230926,True,True,True,2024-08-26,0.0,0.0,0.0
baseline_12,1,2024-08-28,2923,サトウ食品,1,0.5549541070209049,0.0,-3.562340966921118,True,True,True,2024-08-27,0.0,0.0,0.0
baseline_12,1,2024-08-29,2736,フェスタリアホールディングス,1,0.561424085772663,0.0,-0.7027406886858767,True,True,True,2024-08-28,0.0,0.0,0.0
baseline_12,1,2024-08-30,3077,ホリイフードサービス,1,0.5573427578112887,0.0,-0.2801120448179262,True,True,True,2024-08-29,0.0,0.0,0.0
baseline_12,2,2024-06-03,6458,新晃⼯業,1,0.5543181804680812,0.0,-3.6250000000000004,True,True,True,2024-05-31,0.0,0.0,0.0
baseline_12,2,2024-06-03,9824,泉州電業,2,0.5508891263196293,1.0,1.2658227848101333,True,True,True,2024-05-31,0.0,0.0,0.0
baseline_12,2,2024-06-04,5803,フジクラ,1,0.5728001761969367,0.0,-1.6260162601625994,True,True,True,2024-06-03,0.0,0.0,0.0
baseline_12,2,2024-06-04,6458,新晃⼯業,2,0.5506698000616168,0.0,-0.9247027741083214,True,True,True,2024-06-03,1.0,0.0,0.0
baseline_12,2,2024-06-05,8331,千葉銀行,1,0.5580282700064624,0.0,-0.24999999999999467,True,True,True,2024-06-04,0.0,0.0,0.0
baseline_12,2,2024-06-05,5803,フジクラ,2,0.5548482684279539,1.0,1.6010673782521634,True,True,True,2024-06-04,0.0,0.0,0.0
baseline_12,2,2024-06-06,8708,アイザワ証券グループ,1,0.5730895988843715,1.0,0.9037745879851178,True,True,True,2024-06-05,0.0,0.0,0.0
baseline_12,2,2024-06-06,6508,明電舎,2,0.5607039453501088,0.0,-0.2557544757033292,True,True,True,2024-06-05,0.0,0.0,0.0
baseline_12,2,2024-06-07,6770,アルプスアルパイン,1,0.5589778265428886,1.0,1.7358747447242973,True,True,True,2024-06-06,0.0,0.0,0.0
baseline_12,2,2024-06-07,6151,日東⼯器,2,0.5489935150914937,0.0,-1.0425716768027837,True,True,True,2024-06-06,0.0,0.0,0.0
baseline_12,2,2024-06-10,4014,カラダノート,1,0.55519266077264,1.0,1.2006861063464935,True,True,True,2024-06-07,0.0,0.0,0.0
