feature_set,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date,tdnet_any,tdnet_positive,tdnet_negative
baseline_12,1,2024-09-02,4579,ラクオリア創薬,1,0.5904260186658372,0.0,-2.6856240126382325,True,True,True,2024-08-30,0.0,0.0,0.0
baseline_12,1,2024-09-03,4369,トリケミカル研究所,1,0.6149353758713133,0.0,-3.584672435105063,True,True,True,2024-09-02,0.0,0.0,0.0
baseline_12,1,2024-09-04,4889,レナサイエンス,1,0.5983833502155042,0.0,-3.385416666666663,True,True,True,2024-09-03,0.0,0.0,0.0
baseline_12,1,2024-09-05,3974,ＳＣＡＴ,1,0.5662162221000739,1.0,0.22831050228311334,True,True,True,2024-09-04,0.0,0.0,0.0
baseline_12,1,2024-09-06,6034,ＭＲＴ,1,0.586012764683975,1.0,4.643962848297223,True,True,True,2024-09-05,0.0,0.0,0.0
baseline_12,1,2024-09-09,9232,パスコ,1,0.6113717005508106,0.0,0.0,True,True,True,2024-09-06,0.0,0.0,0.0
baseline_12,1,2024-09-10,9307,杉村倉庫,1,0.5958901429647417,0.0,-1.1345218800648316,True,True,True,2024-09-09,0.0,0.0,0.0
baseline_12,1,2024-09-11,4415,ブロードエンタープライズ,1,0.5873239013129834,0.0,-1.5277777777777724,True,True,True,2024-09-10,0.0,0.0,0.0
baseline_12,1,2024-09-12,7646,ＰＬＡＮＴ,1,0.5808398056936993,0.0,-0.32679738562091387,True,True,True,2024-09-11,0.0,0.0,0.0
baseline_12,1,2024-09-13,7110,クラシコム,1,0.5855328715177491,1.0,0.37707390648566985,True,True,True,2024-09-12,0.0,0.0,0.0
baseline_12,1,2024-09-17,7095,Ｍａｃｂｅｅ Ｐｌａｎｅｔ,1,0.5837890912797014,0.0,-7.722132471728593,True,True,True,2024-09-13,0.0,0.0,0.0
baseline_12,1,2024-09-18,9556,ＩＮＴＬＯＯＰ,1,0.6100030356383958,1.0,4.714912280701755,True,True,True,2024-09-17,0.0,0.0,0.0
baseline_12,1,2024-09-19,1948,弘電社,1,0.5917181962983209,0.0,-2.140883977900554,True,True,True,2024-09-18,0.0,0.0,0.0
baseline_12,1,2024-09-20,3153,八洲電機,1,0.5795909660609071,1.0,1.4983351831298508,True,True,True,2024-09-19,0.0,0.0,0.0
baseline_12,1,2024-09-24,3461,パルマ,1,0.5940176103116014,1.0,3.439803439803435,True,True,True,2024-09-20,1.0,1.0,0.0
baseline_12,1,2024-09-25,3696,セレス,1,0.6018327249423023,0.0,-4.073587385019706,True,True,True,2024-09-24,0.0,0.0,0.0
baseline_12,1,2024-09-26,7878,光・彩,1,0.6053078933948978,0.0,-5.873015873015874,True,True,True,2024-09-25,0.0,0.0,0.0
baseline_12,1,2024-09-27,3962,チェンジホールディングス,1,0.5725226662120304,1.0,0.15923566878981443,True,True,True,2024-09-26,0.0,0.0,0.0
baseline_12,1,2024-09-30,3962,チェンジホールディングス,1,0.5744301789909423,0.0,-2.515723270440251,True,True,True,2024-09-27,0.0,0.0,0.0
baseline_12,1,2024-10-01,3962,チェンジホールディングス,1,0.5946052057249197,1.0,3.571428571428581,True,True,True,2024-09-30,0.0,0.0,0.0
baseline_12,1,2024-10-02,7061,日本ホスピスホールディングス,1,0.5640530798046568,1.0,0.26631158455392434,True,True,True,2024-10-01,0.0,0.0,0.0
baseline_12,1,2024-10-03,9722,藤⽥観光,1,0.5617845691194744,0.0,-0.6857142857142895,True,True,True,2024-10-02,0.0,0.0,0.0
baseline_12,1,2024-10-04,2980,ＳＲＥホールディングス,1,0.5692933497596095,1.0,0.8695652173912993,True,True,True,2024-10-03,0.0,0.0,0.0
baseline_12,1,2024-10-07,7061,日本ホスピスホールディングス,1,0.5805506940327106,1.0,0.6662225183211135,True,True,True,2024-10-04,0.0,0.0,0.0
baseline_12,1,2024-10-08,7061,日本ホスピスホールディングス,1,0.5691973946407696,0.0,-2.474916387959869,True,True,True,2024-10-07,0.0,0.0,0.0
baseline_12,1,2024-10-09,7061,日本ホスピスホールディングス,1,0.5765755010986287,0.0,-0.20311442112389555,True,True,True,2024-10-08,0.0,0.0,0.0
baseline_12,1,2024-10-10,1911,住友林業,1,0.5772433839701406,0.0,-0.8724100327153761,True,True,True,2024-10-09,0.0,0.0,0.0
baseline_12,1,2024-10-11,7061,日本ホスピスホールディングス,1,0.590407339121973,0.0,-0.1387925052047212,True,True,True,2024-10-10,0.0,0.0,0.0
baseline_12,1,2024-10-15,9601,松竹,1,0.5768826449678921,1.0,0.9304812834224574,True,True,True,2024-10-11,1.0,0.0,0.0
baseline_12,1,2024-10-16,9024,⻄武ホールディングス,1,0.5740829486321601,0.0,-1.2481426448736954,True,True,True,2024-10-15,0.0,0.0,0.0
