feature_set,portfolio_top_k,date,code,name,model_rank,model_score,label,oc_return_pct,outcome_observed,source_complete,universe_source_complete,universe_source_date,tdnet_any,tdnet_positive,tdnet_negative
baseline_12,1,2025-01-06,4267,ライトワークス,1,0.5380260783637861,0.0,0.0,True,True,True,2024-12-30,0.0,0.0,0.0
baseline_12,1,2025-01-07,6226,守⾕輸送機⼯業,1,0.537493761212072,1.0,0.039308176100627534,True,True,True,2025-01-06,0.0,0.0,0.0
baseline_12,1,2025-01-08,5161,⻄川ゴム⼯業,1,0.5298462704742277,1.0,0.6263982102908239,True,True,True,2025-01-07,0.0,0.0,0.0
baseline_12,1,2025-01-09,9362,兵機海運,1,0.5343384795776746,1.0,1.715039577836408,True,True,True,2025-01-08,0.0,0.0,0.0
baseline_12,1,2025-01-10,7730,マニー,1,0.545663992114846,0.0,-2.0689655172413834,True,True,True,2025-01-09,0.0,0.0,0.0
baseline_12,1,2025-01-14,4783,ＮＣＤ,1,0.5335528750483667,1.0,2.5123715264560254,True,True,True,2025-01-10,0.0,0.0,0.0
baseline_12,1,2025-01-15,6857,アドバンテスト,1,0.5349031909300738,0.0,-3.2258064516129004,True,True,True,2025-01-14,0.0,0.0,0.0
baseline_12,1,2025-01-16,4429,リックソフト,1,0.562251029121439,0.0,-4.30622009569378,True,True,True,2025-01-15,0.0,0.0,0.0
baseline_12,1,2025-01-17,3238,セントラル総合開発,1,0.5345035310703368,0.0,-0.20920502092049986,True,True,True,2025-01-16,0.0,0.0,0.0
baseline_12,1,2025-01-20,3976,シャノン,1,0.5356570945827979,1.0,3.5196687370600444,True,True,True,2025-01-17,0.0,0.0,0.0
baseline_12,1,2025-01-21,4267,ライトワークス,1,0.5326510870121706,1.0,0.7148530579825341,True,True,True,2025-01-20,0.0,0.0,0.0
baseline_12,1,2025-01-22,4267,ライトワークス,1,0.5362431842017902,1.0,2.2961203483768733,True,True,True,2025-01-21,0.0,0.0,0.0
baseline_12,1,2025-01-23,5851,リョービ,1,0.5349366609037962,0.0,-0.8646779074794608,True,True,True,2025-01-22,1.0,0.0,0.0
baseline_12,1,2025-01-24,7205,日野自動車,1,0.5411913712385397,0.0,-0.738007380073813,True,True,True,2025-01-23,0.0,0.0,0.0
baseline_12,1,2025-01-27,8066,三⾕商事,1,0.5356369892892837,0.0,-3.121951219512198,True,True,True,2025-01-24,0.0,0.0,0.0
baseline_12,1,2025-01-28,8066,三⾕商事,1,0.5427698869080547,1.0,1.1657374556512945,True,True,True,2025-01-27,0.0,0.0,0.0
baseline_12,1,2025-01-29,4272,日本化薬,1,0.5369174297072423,0.0,-0.27407987470634554,True,True,True,2025-01-28,0.0,0.0,0.0
baseline_12,1,2025-01-30,4267,ライトワークス,1,0.547879794963033,1.0,0.897226753670477,True,True,True,2025-01-29,0.0,0.0,0.0
baseline_12,1,2025-01-31,4267,ライトワークス,1,0.5441865784840124,1.0,2.3443815683104274,True,True,True,2025-01-30,0.0,0.0,0.0
baseline_12,1,2025-02-03,6547,グリーンズ,1,0.5449475058498301,1.0,0.7669365146996121,True,True,True,2025-01-31,0.0,0.0,0.0
baseline_12,1,2025-02-04,4267,ライトワークス,1,0.5507823421888163,1.0,1.5322580645161343,True,True,True,2025-02-03,0.0,0.0,0.0
baseline_12,1,2025-02-05,4267,ライトワークス,1,0.5478215357425908,1.0,3.494837172359011,True,True,True,2025-02-04,0.0,0.0,0.0
baseline_12,1,2025-02-06,6547,グリーンズ,1,0.5453407670806601,1.0,2.365308804205002,True,True,True,2025-02-05,0.0,0.0,0.0
baseline_12,1,2025-02-07,4267,ライトワークス,1,0.5510300420974485,1.0,0.6304176516942483,True,True,True,2025-02-06,0.0,0.0,0.0
baseline_12,1,2025-02-10,4267,ライトワークス,1,0.5495145988856789,1.0,3.6632891660171474,True,True,True,2025-02-07,0.0,0.0,0.0
baseline_12,1,2025-02-12,4783,ＮＣＤ,1,0.5634646540226506,1.0,1.0204081632652962,True,True,True,2025-02-10,0.0,0.0,0.0
baseline_12,1,2025-02-13,3402,東レ,1,0.5503521815013463,0.0,-0.24449877750610804,True,True,True,2025-02-12,1.0,0.0,0.0
baseline_12,1,2025-02-14,2120,ＬＩＦＵＬＬ,1,0.5538080789389777,1.0,1.1111111111111072,True,True,True,2025-02-13,0.0,0.0,0.0
baseline_12,1,2025-02-17,4267,ライトワークス,1,0.556686176514274,1.0,3.5450516986706093,True,True,True,2025-02-14,0.0,0.0,0.0
baseline_12,1,2025-02-18,3238,セントラル総合開発,1,0.544620992293832,1.0,1.0845986984815648,True,True,True,2025-02-17,0.0,0.0,0.0
baseline_12,1,2025-02-19,4267,ライトワークス,1,0.5446610507217834,1.0,1.1251758087201136,True,True,True,2025-02-18,0.0,0.0,0.0
baseline_12,1,2025-02-20,4267,ライトワークス,1,0.541086438365692,1.0,1.1716057891109521,True,True,True,2025-02-19,0.0,0.0,0.0
baseline_12,1,2025-02-21,4267,ライトワークス,1,0.5421371078589712,1.0,1.4685314685314754,True,True,True,2025-02-20,0.0,0.0,0.0
baseline_12,1,2025-02-25,4267,ライトワークス,1,0.5476324445701026,1.0,2.557014512785072,True,True,True,2025-02-21,0.0,0.0,0.0
baseline_12,1,2025-02-26,7043,アルー,1,0.5469306919351345,0.0,-0.14224751066855834,True,True,True,2025-02-25,0.0,0.0,0.0
baseline_12,1,2025-02-27,4267,ライトワークス,1,0.5474582862517987,0.0,-1.888020833333337,True,True,True,2025-02-26,0.0,0.0,0.0
baseline_12,1,2025-02-28,4267,ライトワークス,1,0.5509294039990257,0.0,-0.9986684420772329,True,True,True,2025-02-27,0.0,0.0,0.0
baseline_12,1,2025-03-03,7043,アルー,1,0.5490957301641848,0.0,0.0,True,True,True,2025-02-28,0.0,0.0,0.0
baseline_12,1,2025-03-04,4267,ライトワークス,1,0.5482678802638254,0.0,-1.4814814814814836,True,True,True,2025-03-03,0.0,0.0,0.0
baseline_12,1,2025-03-05,7043,アルー,1,0.5496451657878532,0.0,-2.2253129346314293,True,True,True,2025-03-04,0.0,0.0,0.0
baseline_12,1,2025-03-06,7043,アルー,1,0.5509518433108472,0.0,0.0,True,True,True,2025-03-05,0.0,0.0,0.0
baseline_12,1,2025-03-07,4783,ＮＣＤ,1,0.5459131545719834,0.0,-4.134650567142339,True,True,True,2025-03-06,0.0,0.0,0.0
