candidate_id,date,model_rank,code,name,label,oc_return_pct,ensemble_score
O01_softmax_ewma_vote_hl20,2024-07-01,1,7043,アルー,1.0,0.4999999999999893,0.5714285714285713
O01_softmax_ewma_vote_hl20,2024-07-01,2,7490,日新商事,1.0,0.5530973451327359,0.17857142857142855
O02_equal_vote_control,2024-07-01,1,7043,アルー,1.0,0.4999999999999893,0.5714285714285713
O02_equal_vote_control,2024-07-01,2,7490,日新商事,1.0,0.5530973451327359,0.17857142857142855
O03_follow_leader_hl20,2024-07-01,1,7043,アルー,1.0,0.4999999999999893,
O03_follow_leader_hl20,2024-07-01,2,8139,ナガホリ,1.0,2.382671480144394,
C00_daily_rank_ridge,2024-07-01,1,7043,アルー,1.0,0.4999999999999893,
C00_daily_rank_ridge,2024-07-01,2,8139,ナガホリ,1.0,2.382671480144394,
O01_softmax_ewma_vote_hl20,2024-07-02,1,7043,アルー,0.0,-0.498132004981322,0.5280389586992256
O01_softmax_ewma_vote_hl20,2024-07-02,2,4664,アール・エス・シー,0.0,-0.6980802792321161,0.22460676523495154
O02_equal_vote_control,2024-07-02,1,7043,アルー,0.0,-0.498132004981322,0.4999999999999999
O02_equal_vote_control,2024-07-02,2,4664,アール・エス・シー,0.0,-0.6980802792321161,0.24999999999999997
O03_follow_leader_hl20,2024-07-02,1,7043,アルー,0.0,-0.498132004981322,
O03_follow_leader_hl20,2024-07-02,2,6151,日東⼯器,0.0,-3.27466230045027,
C00_daily_rank_ridge,2024-07-02,1,7043,アルー,0.0,-0.498132004981322,
C00_daily_rank_ridge,2024-07-02,2,6151,日東⼯器,0.0,-3.27466230045027,
O01_softmax_ewma_vote_hl20,2024-07-03,1,7043,アルー,1.0,1.643489254108732,0.5532920869982909
O01_softmax_ewma_vote_hl20,2024-07-03,2,6151,日東⼯器,0.0,-4.340497260851239,0.25997371928533386
O02_equal_vote_control,2024-07-03,1,7043,アルー,1.0,1.643489254108732,0.5357142857142856
O02_equal_vote_control,2024-07-03,2,6151,日東⼯器,0.0,-4.340497260851239,0.2857142857142857
O03_follow_leader_hl20,2024-07-03,1,4524,森下仁丹,0.0,-0.2744739249771255,
O03_follow_leader_hl20,2024-07-03,2,2911,旭松食品,0.0,-0.477430555555558,
C00_daily_rank_ridge,2024-07-03,1,7043,アルー,1.0,1.643489254108732,
C00_daily_rank_ridge,2024-07-03,2,6151,日東⼯器,0.0,-4.340497260851239,
O01_softmax_ewma_vote_hl20,2024-07-04,1,6151,日東⼯器,0.0,-0.9683098591549256,0.26862813071617775
O01_softmax_ewma_vote_hl20,2024-07-04,2,7490,日新商事,0.0,-0.1100110011001076,0.20027930932118054
O02_equal_vote_control,2024-07-04,1,6151,日東⼯器,0.0,-0.9683098591549256,0.2857142857142857
O02_equal_vote_control,2024-07-04,2,4177,ｉ‐ｐｌｕｇ,0.0,-1.6666666666666718,0.17857142857142855
O03_follow_leader_hl20,2024-07-04,1,1518,三井松島ホールディングス,1.0,0.2034587995930925,
O03_follow_leader_hl20,2024-07-04,2,8708,アイザワ証券グループ,1.0,3.142857142857136,
C00_daily_rank_ridge,2024-07-04,1,6151,日東⼯器,0.0,-0.9683098591549256,
C00_daily_rank_ridge,2024-07-04,2,7043,アルー,0.0,0.0,
O01_softmax_ewma_vote_hl20,2024-07-05,1,7043,アルー,1.0,7.800511508951402,0.23259908820072733
O01_softmax_ewma_vote_hl20,2024-07-05,2,2480,システム・ロケーション,1.0,1.8436578171091345,0.17379498183004422
O02_equal_vote_control,2024-07-05,1,7043,アルー,1.0,7.800511508951402,0.25
O02_equal_vote_control,2024-07-05,2,2480,システム・ロケーション,1.0,1.8436578171091345,0.17857142857142855
O03_follow_leader_hl20,2024-07-05,1,1518,三井松島ホールディングス,0.0,-0.2030456852791906,
O03_follow_leader_hl20,2024-07-05,2,7685,ＢｕｙＳｅｌｌ Ｔｅｃｈｎｏｌｏｇｉｅｓ,1.0,4.024390243902443,
C00_daily_rank_ridge,2024-07-05,1,7043,アルー,1.0,7.800511508951402,
C00_daily_rank_ridge,2024-07-05,2,2480,システム・ロケーション,1.0,1.8436578171091345,
O01_softmax_ewma_vote_hl20,2024-07-08,1,7676,グッドスピード,0.0,0.0,0.2980280573776947
O01_softmax_ewma_vote_hl20,2024-07-08,2,6151,日東⼯器,0.0,-3.822495606326892,0.20487386235389227
O02_equal_vote_control,2024-07-08,1,7676,グッドスピード,0.0,0.0,0.24999999999999997
O02_equal_vote_control,2024-07-08,2,6151,日東⼯器,0.0,-3.822495606326892,0.17857142857142855
O03_follow_leader_hl20,2024-07-08,1,8708,アイザワ証券グループ,1.0,1.0791366906474753,
O03_follow_leader_hl20,2024-07-08,2,7676,グッドスピード,0.0,0.0,
C00_daily_rank_ridge,2024-07-08,1,6151,日東⼯器,0.0,-3.822495606326892,
C00_daily_rank_ridge,2024-07-08,2,7676,グッドスピード,0.0,0.0,
O01_softmax_ewma_vote_hl20,2024-07-09,1,6151,日東⼯器,1.0,0.2284148012791309,0.3092235653900409
O01_softmax_ewma_vote_hl20,2024-07-09,2,4992,北興化学⼯業,1.0,7.407407407407418,0.21848440757866044
O02_equal_vote_control,2024-07-09,1,4992,北興化学⼯業,1.0,7.407407407407418,0.2857142857142857
O02_equal_vote_control,2024-07-09,2,6151,日東⼯器,1.0,0.2284148012791309,0.2857142857142857
O03_follow_leader_hl20,2024-07-09,1,8708,アイザワ証券グループ,0.0,-0.1763668430335152,
O03_follow_leader_hl20,2024-07-09,2,7043,アルー,1.0,1.4336917562723928,
C00_daily_rank_ridge,2024-07-09,1,6151,日東⼯器,1.0,0.2284148012791309,
C00_daily_rank_ridge,2024-07-09,2,8139,ナガホリ,1.0,1.9607843137254832,
O01_softmax_ewma_vote_hl20,2024-07-10,1,4491,コンピューターマネージメント,1.0,1.4251781472684133,0.4542885030592837
O01_softmax_ewma_vote_hl20,2024-07-10,2,5973,トーアミ,1.0,0.1824817518248256,0.23622587464553046
O02_equal_vote_control,2024-07-10,1,4491,コンピューターマネージメント,1.0,1.4251781472684133,0.4285714285714285
O02_equal_vote_control,2024-07-10,2,5973,トーアミ,1.0,0.1824817518248256,0.24999999999999997
O03_follow_leader_hl20,2024-07-10,1,8708,アイザワ証券グループ,1.0,0.77247191011236,
O03_follow_leader_hl20,2024-07-10,2,9644,タナベコンサルティンググループ,1.0,5.089605734767022,
C00_daily_rank_ridge,2024-07-10,1,1866,北野建設,0.0,-0.4070556309362261,
C00_daily_rank_ridge,2024-07-10,2,4491,コンピューターマネージメント,1.0,1.4251781472684133,
